Id,SalePrice
2658,154941.84782527905
2718,199112.5506401138
2414,203492.947641971
1989,136155.16285991762
625,192656.38004613854
333,88229.56901704811
1327,109859.96304658048
858,138630.9273661463
95,197582.38248120318
1568,204823.18459086542
2482,177313.44315002885
1364,145123.4572570548
2584,168151.0829353567
818,321469.7595016734
2673,168732.53133064017
2089,125679.84329388058
1297,187949.02574432202
790,110044.6717122367
2616,217226.05061377067
720,203665.24770690466
222,146151.3284014578
557,139438.56429149327
2766,183759.955678336
534,211530.49213831197
1452,109181.87463312583
630,145328.3288219967
2648,125454.16572158519
125,143481.91340298916
1904,34166.79496948028
1670,109462.0683370592
756,88163.90847389681
717,274730.2484650434
1032,160561.7160816333
852,242002.19908323986
1731,190753.43381551877
2639,130988.81703004037
2071,81787.17703419137
1267,118618.95190591938
1851,215000.40682269158
567,187957.08654634014
1898,169371.62418595588
647,171886.54993826157
2256,224861.1966513925
979,118474.57279798324
1444,218252.34692394268
2485,109910.10941939354
157,123678.03793359271
88,119205.36521734018
2003,118185.06067092644
186,215215.19063308736
1425,286388.255182156
2695,132434.84248399438
738,104594.64276097585
395,173473.20412138352
1353,161848.56332342728
1878,147957.3228456116
390,190002.84762115905
1456,256422.20311635925
1103,309747.35527428857
1387,127860.04841816306
2070,172887.61396094522
1199,178371.6169243881
2479,182051.81985961273
501,309565.56075739913
2362,86450.84855079804
1718,204366.0948194527
2188,87430.0539837091
1483,169935.89127077925
2557,84364.23663840759
437,319734.5312691509
2224,223880.03180570228
1628,187247.6756934614
397,131552.23275030142
587,199787.38114797525
2182,453447.5235682925
971,151077.82582469948
2611,161353.92366080172
1887,80746.24699407899
2399,313079.78494193766
2148,241068.71034157777
304,134600.86964269247
1997,141728.1873235578
2817,121832.00895599998
1431,204669.9601648102
263,128266.25361033766
598,186541.4114429114
2895,240322.8737023675
687,155681.46511576982
1822,143513.93906239857
2191,97466.88270698152
179,139919.89640391717
1009,227033.58748601485
2010,124225.55902148839
1991,147858.62869691115
1411,147670.99677666565
1721,264442.0137155556
1144,205849.88565919633
593,227474.36068654706
575,254584.8750261802
1249,198188.809775281
1604,116631.64263945675
1064,371927.85227801255
1923,174404.21439923247
1988,104937.11142905943
2325,181130.52905889347
114,230163.20350030265
2700,205287.26475106122
217,137032.61873680778
343,191058.142762443
386,246313.55904236378
2005,115025.74352780654
2908,140130.39309849704
1814,223684.94578352474
2446,377467.8659599283
208,169193.32698910366
1679,135039.91071222548
822,314793.05541785766
6,197104.28519897483
1781,347125.42447840865
2397,275732.1657186324
2340,275139.63948013884
1618,169502.37061390822
2843,136972.97337182827
1061,327298.1870471154
2786,107868.96135096732
1935,139270.85979482098
1341,128943.26628808034
521,306462.6910559012
2136,147944.8441772884
996,208354.91909700722
227,163729.84195683568
135,166038.0488405862
1167,181399.5059636584
294,224433.6806241462
1776,220589.2692959867
540,218242.96983554523
1717,210146.9935266175
2303,109117.13093973539
116,193628.7207067118
127,126883.22832831382
1371,146940.1845664661
1014,201935.259859543
1507,95932.2606029516
702,161488.33629113753
750,171654.280387529
261,147438.5464778421
1559,70413.85597306152
577,220975.1909819828
2812,215012.12800390538
2080,141430.89822199015
1368,143194.61463946832
2376,127610.44572740681
659,114199.547733073
1235,116509.19795237569
332,97882.6860081648
1917,140453.8655709615
2094,264148.3484895926
1460,264671.40558508644
1471,217255.30108183448
1509,119138.62257382629
1922,133430.5763158804
433,379555.673330622
460,266522.24367064174
1116,274428.4510225934
1137,180069.90798013814
53,195434.02784489325
2354,248930.72824926328
1475,208223.86611279318
1761,421684.6631284321
842,142333.68161083883
2739,193031.87585861655
2509,183137.21624688763
1007,208712.1907186462
2610,182437.6448431909
1952,84090.92123384953
2719,218011.3757978085
